SKU,In_TWG_Feed,In_WP_Feed,TWG_Stock,TWG_MSRP,TWG_DealerCost,Parsed_Size,Parsed_BoltPattern,Parsed_Offset,Parsed_CB,WP_PartNumber,WP_Brand,WP_Stock,Issue_Summary
C1081502090F-11,Yes,No,24,30.99,15.0,,5-120,,,,,,Not in Master WP Feed (likely missing technical metadata)
C1081502090F-12,Yes,No,53,30.99,15.0,,5-120,,,,,,Not in Master WP Feed (likely missing technical metadata)
C1081502090F-13,Yes,No,22,30.99,15.0,,5-150,,,,,,Not in Master WP Feed (likely missing technical metadata)
C1081502090F-14,Yes,No,21,30.99,15.0,,5-150,,,,,,Not in Master WP Feed (likely missing technical metadata)
C1081502090F-15,Yes,No,44,30.99,15.0,,5-150,,,,,,Not in Master WP Feed (likely missing technical metadata)
C1081502090F-2,Yes,No,72,30.99,15.0,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
C1081502090F-3,Yes,No,82,30.99,15.0,,5-139.7,,,,,,Not in Master WP Feed (likely missing technical metadata)
C1081502090F-4,Yes,No,49,30.99,15.0,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
C1081502090F-5,Yes,No,5,30.99,15.0,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
C1081502090F-6,Yes,No,50,30.99,15.0,,5-139.7,,,,,,Not in Master WP Feed (likely missing technical metadata)
C1081502090F-7,Yes,No,2,30.99,15.0,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
C1081502090F-8,Yes,No,50,30.99,15.0,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
C1081502090F-9,Yes,No,72,30.99,15.0,,5-139.7,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108300MB01-S,Yes,No,196,30.99,15.0,,5-114.3,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108300MB02-S,Yes,No,145,30.99,15.0,,5-127,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108300MB03-S,Yes,No,92,30.99,15.0,,6-135,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108300MB04,Yes,No,0,30.99,15.0,,5-150,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108300MB05,Yes,No,0,30.99,15.0,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108300MB06,Yes,No,4,30.99,15.0,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108301MB01-S,Yes,No,92,30.99,15.0,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108302MB02,Yes,No,70,30.99,15.0,,5-127,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108302MB03,Yes,No,15,30.99,15.0,,6-135,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108302MB04,Yes,No,0,30.99,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108302MB05,Yes,No,5,30.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108302MB06,Yes,No,7,30.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108303B01,Yes,No,0,0.0,15.0,,6-120,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108303B02,Yes,No,0,0.0,15.0,,6-135,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108303B03,Yes,No,0,0.0,15.0,,6-135,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108303B04,Yes,No,0,0.0,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108303B05,Yes,No,0,0.0,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108303B08,Yes,No,0,0.0,15.0,,8-180,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108303MB01,Yes,No,25,30.99,15.0,,5-114.3,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108303MB02,Yes,No,47,30.99,15.0,,5-127,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108303MB03,Yes,No,0,30.99,15.0,,5-150,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108303MB04,Yes,No,30,30.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108303MB05,Yes,No,35,39.99,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108303MB07,Yes,No,0,39.99,15.0,,5-100,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108303MB08,Yes,No,0,0.0,15.0,,8-180,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108304MB02,Yes,No,5,30.99,15.0,,5-127,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108304MB03,Yes,No,0,30.99,15.0,,5-139.7,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108304MB04,Yes,No,1,30.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108304MB05,Yes,No,0,30.99,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108304MB06,Yes,No,0,30.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108305MB01,Yes,No,36,30.99,15.0,,5-114.3,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108305MB02,Yes,No,30,30.99,15.0,,5-127,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108305MB03,Yes,No,55,30.99,15.0,,5-150,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108305MB04,Yes,No,23,30.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108305MB05,Yes,No,0,30.99,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108305MB06,Yes,No,7,30.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108305MB07,Yes,No,19,30.99,15.0,,5-100,,,,,,Not in Master WP Feed (likely missing technical metadata)
C10830601MB,Yes,No,21,39.99,15.0,,5-127,,,,,,Not in Master WP Feed (likely missing technical metadata)
C10830602MB,Yes,No,74,39.99,15.0,,6-135,,,,,,Not in Master WP Feed (likely missing technical metadata)
C10830603MB,Yes,No,0,0.0,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C10830604MB,Yes,No,0,0.0,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C108808MB,Yes,No,0,33.0,16.5,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109103C,Yes,No,1,33.0,16.5,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109105C01-CALI-F,Yes,No,30,33.0,16.5,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109105C01-CALI-R,Yes,No,21,33.0,16.5,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109105C01-R,Yes,No,19,33.0,16.5,,8-6.5,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109105C02-CALI-F,Yes,No,48,33.0,16.5,,8-200,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109105C02-CALI-R,Yes,No,7,33.0,16.5,,8-200,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109105MB01-CALI-F,Yes,No,36,33.0,16.5,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109105MB01-CALI-R,Yes,No,34,33.0,16.5,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109105MB01-F,Yes,No,0,33.0,16.5,,8-6.5,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109105MB01-R,Yes,No,31,33.0,16.5,,8-6.5,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109105MB02-CALI-F,Yes,No,26,33.0,16.5,,8-200,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109105MB02-F,Yes,No,22,33.0,16.5,,8-200,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109106C,Yes,No,20,33.0,16.5,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109106MB,Yes,No,22,66.0,16.5,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109107C,Yes,No,2,33.0,16.5,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109108B01,Yes,No,84,33.99,16.5,,5-127,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109108B02,Yes,No,0,33.99,16.5,,5-139.7,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109108B03,Yes,No,99,33.99,16.5,,5-150,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109108B04,Yes,No,0,33.99,16.5,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109108B05,Yes,No,0,33.99,16.5,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109108B06,Yes,No,80,33.99,16.5,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109108C01,Yes,No,29,33.99,16.5,,5-127,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109108C02,Yes,No,6,33.99,16.5,,5-139.7,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109108C03,Yes,No,30,33.99,16.5,,5-150,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109108C04,Yes,No,0,33.99,16.5,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109108C05,Yes,No,0,33.99,16.5,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109108C06,Yes,No,6,33.99,16.5,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109109G02,Yes,No,0,33.99,16.5,,5-139.7,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109109G05,Yes,No,0,33.99,16.5,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109109G06,Yes,No,56,33.99,16.5,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109109MB01,Yes,No,0,33.99,16.5,,5-127,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109109MB02,Yes,No,158,33.99,16.5,,5-139.7,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109109MB03,Yes,No,68,33.99,16.5,,5-150,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109109MB04,Yes,No,7,33.99,16.5,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109109MB05,Yes,No,58,33.99,16.5,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109109MB06,Yes,No,0,33.99,16.5,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109110B01,Yes,No,21,39.99,15.0,,5-127,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109110B01-F,Yes,No,141,39.99,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109110B01-R,Yes,No,16,39.99,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109110B02,Yes,No,0,39.99,15.0,,6-135,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109110B02-F,Yes,No,77,39.99,15.0,,8-200,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109110B02-R,Yes,No,44,39.99,15.0,,8-200,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109110B04,Yes,No,0,39.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109110B05,Yes,No,0,39.99,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109110B06,Yes,No,5,39.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109110BB01,Yes,No,14,30.99,15.0,,5-127,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109110BB02,Yes,No,278,39.99,15.0,,5-139.7,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109110BB03,Yes,No,100,30.99,15.0,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109110BB04,Yes,No,142,30.99,15.0,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109110BB05,Yes,No,107,30.99,15.0,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109110BR01,Yes,No,94,30.99,15.0,,5-127,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109110BR02,Yes,No,170,30.99,15.0,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109110BR03,Yes,No,93,30.99,15.0,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109110BR04,Yes,No,9,30.99,15.0,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109110BR05,Yes,No,104,30.99,15.0,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109110C01,Yes,No,31,42.99,16.5,,5-127,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109110C01-F,Yes,No,22,39.99,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109110C01-R,Yes,No,28,39.99,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109110C02,Yes,No,83,39.99,15.0,,6-135,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109110C02-F,Yes,No,86,30.99,15.0,,8-200,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109110C02-R,Yes,No,27,39.99,15.0,,8-200,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109110C04,Yes,No,1,39.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109110C05,Yes,No,17,39.99,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109110C06,Yes,No,0,39.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109111B01,Yes,No,74,39.99,15.0,,5-127,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109111B02,Yes,No,44,39.99,15.0,,6-135,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109111B04,Yes,No,22,39.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109111B05,Yes,No,2,39.99,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109111B06,Yes,No,35,39.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109111C02,Yes,No,112,39.99,15.0,,6-135,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109111C04,Yes,No,18,39.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109111C05,Yes,No,15,39.99,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109111C06,Yes,No,19,39.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109112B01,Yes,No,37,39.99,15.0,,5-127,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109112B02,Yes,No,0,39.99,15.0,,6-135,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109112B04,Yes,No,4,39.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109112B05,Yes,No,7,39.99,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109112C01,Yes,No,28,39.99,15.0,,5-127,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109112C02,Yes,No,92,39.99,15.0,,6-135,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109112C04,Yes,No,11,39.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109112C05,Yes,No,52,39.99,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109113B01,Yes,No,46,39.99,15.0,,5-127,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109113B02,Yes,No,45,39.99,15.0,,6-135,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109113B04,Yes,No,2,39.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109113B05,Yes,No,0,39.99,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109113B06,Yes,No,32,39.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109113C02,Yes,No,0,39.99,15.0,,6-135,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109113C04,Yes,No,22,39.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109113C05,Yes,No,29,39.99,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109113C06,Yes,No,47,39.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109114B01,Yes,No,98,30.99,15.0,,5-127,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109114B02,Yes,No,26,39.99,15.0,,5-139.7,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109114B03,Yes,No,68,30.99,15.0,,5-150,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109114B04,Yes,No,22,30.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109114B05,Yes,No,3,39.99,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109114B06,Yes,No,81,30.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109114C01,Yes,No,36,39.99,15.0,,5-127,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109114C02,Yes,No,102,39.99,15.0,,5-139.7,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109114C03,Yes,No,96,30.99,15.0,,5-150,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109114C04,Yes,No,9,39.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109114C05,Yes,No,13,39.99,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109114C06,Yes,No,29,39.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109115B01,Yes,No,178,39.99,15.0,,5-127,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109115B01-F,Yes,No,28,30.99,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109115B01-R,Yes,No,9,30.99,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109115B02,Yes,No,173,39.99,15.0,,5-139.7,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109115B02-F,Yes,No,53,30.99,15.0,,8-200,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109115B02-R,Yes,No,63,30.99,15.0,,8-200,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109115B03,Yes,No,100,39.99,15.0,,5-150,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109115B04,Yes,No,34,39.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109115B05,Yes,No,11,39.99,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109115B06,Yes,No,96,39.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109115C01,Yes,No,0,39.99,15.0,,5-127,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109115C01-F,Yes,No,10,30.99,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109115C01-R,Yes,No,45,30.99,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109115C02,Yes,No,26,39.99,15.0,,5-139.7,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109115C02-F,Yes,No,0,30.99,15.0,,8-200,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109115C02-R,Yes,No,23,30.99,15.0,,8-200,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109115C03,Yes,No,0,39.99,15.0,,5-150,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109115C04,Yes,No,30,39.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109115C05,Yes,No,17,39.99,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109115C06,Yes,No,0,39.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109116B01,Yes,No,8,39.99,15.0,,5-127,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109116B02,Yes,No,32,39.99,15.0,,5-139.7,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109116B04,Yes,No,31,39.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109116B05,Yes,No,51,39.99,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109116B06,Yes,No,49,39.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109116C01,Yes,No,0,39.99,15.0,,5-127,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109116C02,Yes,No,50,39.99,15.0,,5-139.7,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109116C04,Yes,No,44,39.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109116C05,Yes,No,85,39.99,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109116C06,Yes,No,41,39.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109117B01,Yes,No,69,39.99,15.0,,5-127,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109117B02,Yes,No,10,39.99,15.0,,5-139.7,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109117B04,Yes,No,60,39.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109117B05,Yes,No,101,39.99,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109117B06,Yes,No,20,39.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109117C01,Yes,No,18,39.99,15.0,,5-127,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109117C02,Yes,No,34,39.99,15.0,,5-139.7,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109117C04,Yes,No,30,39.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109117C05,Yes,No,0,39.99,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109117C06,Yes,No,43,39.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109118B01,Yes,No,16,39.99,15.0,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109118B02,Yes,No,23,39.99,15.0,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109118C01,Yes,No,15,39.99,15.0,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109118C02,Yes,No,47,39.99,15.0,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109300MB01,Yes,No,5,33.0,16.5,,4-110,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109300MB01-DL,Yes,No,6,33.0,16.5,,4-110,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109300MB02-DL,Yes,No,3,33.0,16.5,,4-156,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109300MB03,Yes,No,11,33.0,16.5,,5-114.3,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109300MB03-DL,Yes,No,61,33.0,16.5,,5-114.3,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109300MB04,Yes,No,17,33.0,16.5,,5-139.7,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109300MB04-DL,Yes,No,30,33.0,16.5,,5-139.7,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109300MB05-DL,Yes,No,49,33.0,16.5,,5-120,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109300MB06-DL,Yes,No,0,33.0,16.5,,6-135,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109300MB07-DL,Yes,No,8,33.0,16.5,,6-139.7,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109301MB03,Yes,No,0,33.0,16.5,,5-114.3,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109301MB04,Yes,No,16,33.0,16.5,,5-139.7,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109301MB04-DL,Yes,No,38,33.0,16.5,,5-139.7,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109301MB05,Yes,No,21,33.0,16.5,,5-120,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109301MB07,Yes,No,0,33.0,16.5,,6-139.7,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109303BR01,Yes,No,99,30.99,15.0,,5-114.3,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109303BR02,Yes,No,50,30.99,15.0,,5-139.7,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109303BR03,Yes,No,43,30.99,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109303BR04,Yes,No,71,30.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109303MB01,Yes,No,40,30.99,15.0,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109303MB02,Yes,No,106,30.99,15.0,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109303MB03,Yes,No,269,30.99,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109303MB04,Yes,No,94,30.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109303MB05,Yes,No,194,30.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109304MB01,Yes,No,26,30.99,15.0,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109304MB02,Yes,No,85,30.99,15.0,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109304MB03,Yes,No,84,30.99,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109304MB04,Yes,No,74,30.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109304MB05,Yes,No,10,30.99,15.0,,8-170,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109305C01,Yes,No,0,29.99,15.0,,5-114.3,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109305C05,Yes,No,0,29.99,15.0,,6-139.7,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109305MB01,Yes,No,46,30.99,15.0,,5-114.3,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109305MB02,Yes,No,89,30.99,15.0,,5-150,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109305MB03,Yes,No,0,30.99,15.0,,6-120,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109305MB04,Yes,No,40,30.99,15.0,,6-135,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109305MB05,Yes,No,284,30.99,15.0,,6-139.7,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109305MB06,Yes,No,81,39.4,15.0,,8-165.1,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109306C01,Yes,No,0,29.99,15.0,,5-114.3,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109306MB04,Yes,No,24,30.99,15.0,,6-135,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109306MB05,Yes,No,98,30.99,15.0,,6-139.7,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109306MB07,Yes,No,39,30.99,15.0,,5-127,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109306MB09,Yes,No,90,30.99,15.0,,5-150,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109307MB05,Yes,No,35,30.99,15.0,,6-139.7,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109307MB07,Yes,No,49,30.99,15.0,,5-127,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109308MB01,Yes,No,38,30.99,15.0,,5-114.3,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109308MB02,Yes,No,54,30.99,15.0,,5-127,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109308MB03,Yes,No,37,30.99,15.0,,6-135,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109309MB02,Yes,No,0,30.99,15.0,,5-139.7,,,,,,Not in Master WP Feed (likely missing technical metadata)
C109309MB03,Yes,No,19,30.99,15.0,,6-114.3,,,,,,Not in Master WP Feed (likely missing technical metadata)
